,HG_mostNum,HG_std,HG_val,HG_entropy,GLCM_asm,GLCM_contrast,GLCM_entropt,GLCM_idm,label
17948,131,10.372441291809082,0.07665053755044937,4.81762170791626,0.4997046313799621,0.14855072463768115,0.8228990789685018,0.8387681159420289,2
17949,132,6.112542152404785,0.04663713648915291,4.171018123626709,0.4192462192816635,0.16666666666666666,0.9638695244051547,0.8297101449275363,2
17950,122,7.42097806930542,0.0597345307469368,4.385134696960449,0.41671097195967227,0.1431159420289855,0.9589337313776602,0.8414855072463767,2
17951,124,6.772854804992676,0.05597079545259476,4.239912986755371,0.648563852131905,0.09057971014492754,0.5348843622272986,0.8677536231884059,2
17952,130,5.528619766235352,0.04222670942544937,4.071107864379883,0.4184044187145558,0.23007246376811594,0.9606533833508788,0.7980072463768115,2
17953,138,6.308395862579346,0.045860711485147476,4.176445007324219,0.7946597353497165,0.021739130434782608,0.20086154561359382,0.9021739130434783,2
17954,125,6.571179389953613,0.05158431828022003,4.290501594543457,0.22417001417769378,0.3351449275362319,1.3143695214118978,0.7454710144927537,2
17955,140,10.408023834228516,0.07817826420068741,4.766480445861816,0.3774088951900861,0.14130434782608695,1.0152228753531045,0.842391304347826,2
17956,140,9.900492668151855,0.07403967529535294,4.662509918212891,0.3887887917454316,0.16485507246376813,1.0112781708340113,0.8306159420289855,2
17957,132,5.989668369293213,0.04569177329540253,4.112521648406982,0.4282631668767066,0.1721014492753623,0.9500137310057089,0.8269927536231885,2
17958,132,6.110044479370117,0.0464550144970417,4.182254791259766,0.4585614235454737,0.1793478260869565,0.8962232043724626,0.8233695652173914,2
17959,133,5.988471984863281,0.04563309624791145,4.092912197113037,0.45008106227683264,0.17572463768115942,0.9121631879102793,0.8251811594202898,2
17960,133,5.389825820922852,0.040708333253860474,3.9777793884277344,0.5604045237345096,0.14673913043478262,0.6986711122906242,0.8396739130434783,2
17961,120,10.044217109680176,0.0819738581776619,4.852577209472656,0.47767505513547576,0.07789855072463768,0.8206765006765293,0.8740942028985507,2
17962,115,11.104918479919434,0.09084809571504593,4.832010269165039,0.42825003938248263,0.1105072463768116,0.9206471935465681,0.8577898550724637,2
17963,124,6.737470626831055,0.053450632840394974,4.360458850860596,0.2777301906112161,0.26992753623188404,1.2150146366107117,0.7780797101449275,2
17964,130,6.3773512840271,0.04803277552127838,4.2254204750061035,0.5533813143247218,0.1539855072463768,0.7090518920729548,0.8360507246376812,2
17965,132,7.055522918701172,0.0534474141895771,4.373321533203125,0.48857087534131494,0.15760869565217392,0.8428324599883699,0.8342391304347827,2
17966,126,7.425952911376953,0.05899791419506073,4.438480854034424,0.31541922652804033,0.20471014492753623,1.1383687515970473,0.8106884057971014,2
17967,128,7.43925666809082,0.05830582603812218,4.3964152336120605,0.24734824616677165,0.2608695652173913,1.2611738880005565,0.7826086956521738,2
17968,136,5.307270526885986,0.039252035319805145,3.9133028984069824,0.804273983931947,0.016304347826086956,0.1761511345673331,0.904891304347826,2
17969,135,5.6226959228515625,0.04194140061736107,4.038537502288818,0.697352184415039,0.07608695652173914,0.4210286112607023,0.875,2
17970,129,8.513114929199219,0.06572864204645157,4.684686183929443,0.2603182104599874,0.26811594202898553,1.2428911310618034,0.7789855072463768,2
17971,130,10.129865646362305,0.07717482000589371,4.871363162994385,0.35732218809073724,0.1539855072463768,1.0518892511447415,0.8360507246376812,2
17972,119,8.982623100280762,0.0716768130660057,4.640666484832764,0.3188077609745852,0.14130434782608695,1.0949609657444228,0.8423913043478262,2
17973,123,9.591222763061523,0.07336711883544922,4.702484607696533,0.3353024574669187,0.13768115942028986,1.070128965720803,0.8442028985507246,2
17974,128,9.142412185668945,0.06856809556484222,4.605438232421875,0.4265779248057131,0.20652173913043478,0.951890969577887,0.8097826086956522,2
17975,133,5.4225006103515625,0.04094545543193817,4.027553081512451,0.5309989366729678,0.1793478260869565,0.737894695983634,0.8233695652173912,2
17976,134,5.276976585388184,0.03947503864765167,3.9492383003234863,0.7061607330392774,0.07246376811594203,0.399332062209366,0.8768115942028984,2
17977,134,5.246133327484131,0.03881731629371643,3.9228198528289795,0.7946597353497165,0.021739130434782608,0.20086154561359382,0.9021739130434783,2
17978,138,6.851155757904053,0.05045859515666962,4.296172142028809,0.7029182419659736,0.06884057971014493,0.41660032063602964,0.8786231884057971,2
17979,125,10.087862968444824,0.07908172905445099,4.861525058746338,0.2868669265910523,0.18297101449275363,1.168349358534887,0.8215579710144927,2
17980,129,8.62357234954834,0.06565304100513458,4.644090175628662,0.355064259084226,0.16847826086956522,1.0633877603941355,0.8288043478260869,2
17981,130,8.310640335083008,0.06621108204126358,4.498010158538818,0.31213899390884264,0.15579710144927536,1.1154058104857478,0.8351449275362318,2
17982,131,9.507298469543457,0.07405579835176468,4.663873195648193,0.3281873555975635,0.11594202898550725,1.058698545948824,0.855072463768116,2
17983,131,7.367244243621826,0.05552109703421593,4.39287805557251,0.5308364839319469,0.15579710144927536,0.7590712513568899,0.8351449275362319,2
